site,management,transect,rep.day,rep.cam,harding.cover,exotic.plant.cover,bare.cover,animal.sign,taxa,method,abundance,diversity,sample.time,rate.hr
RM,tilled.planted,1,3,1.8,25,70,5,1,vertebrates,cams,3,2,16,
RM,untilled.unplanted,2,3,2.1,0,80,20,1,vertebrates,cams,1,1,16,
RM,untilled.unplanted,2,3,2.2,0,70,30,1,vertebrates,cams,3,1,16,
RM,untilled.unplanted,2,3,2.3,0,95,5,1,vertebrates,cams,6,1,16,
RM,untilled.unplanted,2,3,2.4,0,60,40,1,vertebrates,cams,3,1,16,
RM,untilled.unplanted,2,3,2.5,0,95,5,1,vertebrates,cams,2,1,16,
RM,untilled.unplanted,2,3,2.6,0,95,5,1,vertebrates,cams,0,1,16,
RM,untilled.unplanted,2,3,2.7,0,90,10,1,vertebrates,cams,4,1,16,
RM,untilled.unplanted,2,3,2.8,0,90,10,1,vertebrates,cams,4,1,16,
FR,untilled.unplanted,1,3,3.1,0,100,0,0,vertebrates,cams,0,0,16,
FR,untilled.unplanted,1,3,3.2,0,70,30,1,vertebrates,cams,4,2,16,
FR,untilled.unplanted,1,3,3.3,0,100,0,1,vertebrates,cams,1,1,16,
FR,untilled.unplanted,1,3,3.4,0,95,0,0,vertebrates,cams,8,3,16,
FR,untilled.unplanted,1,3,3.5,0,100,0,1,vertebrates,cams,6,3,16,
FR,untilled.unplanted,1,3,3.6,0,85,15,0,vertebrates,cams,5,1,16,
FR,untilled.unplanted,1,3,3.7,0,75,5,0,vertebrates,cams,4,2,16,
FR,untilled.unplanted,1,3,3.8,0,90,10,1,vertebrates,cams,11,4,16,
FR,untilled.unplanted,2,3,4.1,0,40,60,1,vertebrates,cams,11,3,16,
FR,untilled.unplanted,2,3,4.2,0,85,5,0,vertebrates,cams,7,3,16,
FR,untilled.unplanted,2,3,4.3,0,100,0,1,vertebrates,cams,8,4,16,
FR,untilled.unplanted,2,3,4.4,0,100,0,1,vertebrates,cams,3,2,16,
FR,untilled.unplanted,2,3,4.5,0,100,0,0,vertebrates,cams,5,1,16,
FR,untilled.unplanted,2,3,4.6,0,100,0,1,vertebrates,cams,3,2,16,
FR,untilled.unplanted,2,3,4.7,0,100,0,1,vertebrates,cams,4,2,16,
FR,untilled.unplanted,2,3,4.8,0,80,15,1,vertebrates,cams,12,3,16,
